Situation,emotion,empathetic_dialogues
I AM SO PROUD OF MY SON,proud,"Customer :I ma very proud of my son
Agent :"
I AM SO PROUD OF MY SON,proud,"Customer :he is 18 and got accepted at MIT. 
Agent :"
I AM SO PROUD OF MY SON,proud,"Customer :Aw, I be so. How old is he?
Agent :"
"I felt lonely when I was in my senior year of college, studying all of the time and single.",lonely,"Customer :Hey, I used to fill lonely in college - my senior year. I was studying all of the time and single.
Agent :"
"I felt lonely when I was in my senior year of college, studying all of the time and single.",lonely,"Customer :Yes, that was some time ago. I'm mostly too busy to fill lonely, and around people a lot.
Agent :"
"I felt lonely when I was in my senior year of college, studying all of the time and single.",lonely,"Customer :I am sorry to hear that. Are you doing better now?
Agent :"
"I felt lonely when I was in my senior year of college, studying all of the time and single.",lonely,"Customer :I like keeping busy too. It really helps me stay sane!
Agent :"
"I have been disowned by my family. I heard that they were about to go on the annual family vacation that I always used to go on. I felt sad remembering how much I missed those trips, and looking at pictures just made me reminisce a lot. ",nostalgic,"Customer :My family disowned me a few years ago. I heard that they were going on the annual family lake trip next week. Thinking about it made me really sad as I remembered all of my childhood memories on this trip.
Agent :"
"I have been disowned by my family. I heard that they were about to go on the annual family vacation that I always used to go on. I felt sad remembering how much I missed those trips, and looking at pictures just made me reminisce a lot. ",nostalgic,"Customer :I don't know, I have been waiting five years and have sent many emails to my mom  but she seems too angry. I hope so one day but it seems less likely every day. 
Agent :"
"I have been disowned by my family. I heard that they were about to go on the annual family vacation that I always used to go on. I felt sad remembering how much I missed those trips, and looking at pictures just made me reminisce a lot. ",nostalgic,"Customer :I ran away from home with boyfriend, when I was 16, and we had a baby. I don't regret it because we are married now and have three sons. (: I appreciate you asking, thanks.
Agent :"
"I have been disowned by my family. I heard that they were about to go on the annual family vacation that I always used to go on. I felt sad remembering how much I missed those trips, and looking at pictures just made me reminisce a lot. ",nostalgic,"Customer :Thank you so much! I should end the chat now haha but I just wanted to thank you, so if you want you can end it.
Agent :"
"I have been disowned by my family. I heard that they were about to go on the annual family vacation that I always used to go on. I felt sad remembering how much I missed those trips, and looking at pictures just made me reminisce a lot. ",nostalgic,"Customer :Awe, I am sorry to hear that. Do you think there will be any chance of a reconciliation?
Agent :"
"I have been disowned by my family. I heard that they were about to go on the annual family vacation that I always used to go on. I felt sad remembering how much I missed those trips, and looking at pictures just made me reminisce a lot. ",nostalgic,"Customer :I know it isn't my place to ask, but why did they disown you?
Agent :"
"I have been disowned by my family. I heard that they were about to go on the annual family vacation that I always used to go on. I felt sad remembering how much I missed those trips, and looking at pictures just made me reminisce a lot. ",nostalgic,"Customer :In the end, I hope she sees that you were able to make it work, and if you can and do, she should meet you half way. You are very welcome :)
Agent :"
My daughter did so well at the dentist and let the dentist clean her teeth without freaking out,proud,"Customer :My daughter's dentist appointment went so great today!
Agent :"
My daughter did so well at the dentist and let the dentist clean her teeth without freaking out,proud,"Customer :She was totally afraid and had to be put to sleep to have dental work done and now she was just great and let them clean them without any issues. It was a relief.
Agent :"
My daughter did so well at the dentist and let the dentist clean her teeth without freaking out,proud,"Customer :Oh really?! Is she not afraid of the dentist?
Agent :"
"I am tired of working midnights, but scared to start something new",apprehensive,"Customer :Ugh I am so sick of working overnight shifts, but I am nervous to start something new.
Agent :"
"I am tired of working midnights, but scared to start something new",apprehensive,"Customer :That's definitely true, I just worry that the grass is always greener on the other side.
Agent :"
"I am tired of working midnights, but scared to start something new",apprehensive,"Customer :You should always be confident and take risks in life.
Agent :"
Who knows what the future hold? All is in Gods hands! Take no thought about the morrow,apprehensive,"Customer :Growing up  ,I had prospects,would I be rich ,or would I be poor ,lingered on my mind..Lol!
Agent :"
Who knows what the future hold? All is in Gods hands! Take no thought about the morrow,apprehensive,"Customer :Yeah ! Work hard ,pray hard I suppose?
Agent :"
Who knows what the future hold? All is in Gods hands! Take no thought about the morrow,apprehensive,"Customer :Work hard at it,poverty is no joke. Not an option!
Agent :"
I applied for a credit card and was approved. I felt very grateful for it,grateful,"Customer :Yesterday, I submitted my application for a credit card with Chase. Thankfully, I was approved and was really glad
Agent :"
I applied for a credit card and was approved. I felt very grateful for it,grateful,"Customer :Indeed. It was my fifth credit card that I have now among others
Agent :"
I applied for a credit card and was approved. I felt very grateful for it,grateful,"Customer :That's great! You must have good credit. 
Agent :"
I'm turning 40 Saturday and I'm feeling old.,sad,"Customer :Moving to a new age bracket is scary.
Agent :"
I'm turning 40 Saturday and I'm feeling old.,sad,"Customer :Turning 40 is one step closer to being older and makes me think about old age more.
Agent :"
I'm turning 40 Saturday and I'm feeling old.,sad,"Customer :In what way are you fearful? I've never thought about that before.
Agent :"
My niece is getting old enough to read the books I read as a kid.,sentimental,"Customer :My niece just turned two and it's weird reading her the books I read as a kid.
Agent :"
My niece is getting old enough to read the books I read as a kid.,sentimental,"Customer :It's weird having some things that you haven't thought about in decades come rushing back.
Agent :"
My niece is getting old enough to read the books I read as a kid.,sentimental,"Customer :I know the feeling. Seeing my friends kid read the books I used to read brings back great memories.
Agent :"
I have great memories of my childhood,nostalgic,"Customer :One of my fondest memories was when I went on an airplane for the first time as a child.
Agent :"
I have great memories of my childhood,nostalgic,"Customer :I LOVE window seats! As a kid I always made sure to get one and now as an adult I do the same. I love to travel!
Agent :"
I have great memories of my childhood,nostalgic,"Customer :I still love going on planes. Makes the headaches of airports worth it.
Agent :"
I am very sad these days.,sad,"Customer :I am very sad these days
Agent :"
I am very sad these days.,sad,"Customer :No. i am sad because of president Trump.
Agent :"
I am very sad these days.,sad,"Customer :I am so sorry to hear that. Is it related to your work?
Agent :"
"After my recent break up, i feel so lonely and desperate. I can't stand it anymore",lonely,"Customer :It is so hard to cope with loneliness. Especially after my break up
Agent :"
"After my recent break up, i feel so lonely and desperate. I can't stand it anymore",lonely,"Customer :For about 3 years since college. Loneliness is the worst that could happen to a human being
Agent :"
"After my recent break up, i feel so lonely and desperate. I can't stand it anymore",lonely,"Customer :I am sorry to heard that.How long were you together.
Agent :"
"I was employed as a sales rep in my company ,with diligence ,I'll someday be a manager",hopeful,"Customer :If I work hard In it,I'll achieve it!
Agent :"
"I was employed as a sales rep in my company ,with diligence ,I'll someday be a manager",hopeful,"Customer :Sure ! I know I can!
Agent :"
"I was employed as a sales rep in my company ,with diligence ,I'll someday be a manager",hopeful,"Customer :I agree with that. Victor mentality. 
Agent :"
I broke my favorite drinking glass.,sad,"Customer :I knocked my favorite glass off the table and now I have to find a replacement.
Agent :"
I broke my favorite drinking glass.,sad,"Customer :No, it was a fairly clean cut down the middle. Not shattered or anything.
Agent :"
I broke my favorite drinking glass.,sad,"Customer :Oh no! How disappointing. Hopefully you didn't cut yourself!
Agent :"
"When I see homeless person, i feel tender feelings and become sentimental toward him",sentimental,"Customer :Homeless people are very unfortunate. It breaks my heart seeing them living in desperation
Agent :"
"When I see homeless person, i feel tender feelings and become sentimental toward him",sentimental,"Customer :I hope I could help somehow, but I am short on my financial situation too
Agent :"
"When I see homeless person, i feel tender feelings and become sentimental toward him",sentimental,"Customer :I feel you.I also get sad when i see people living of the street.
Agent :"
I am very apprehensive these days.,apprehensive,"Customer :I am very apprehensive nowadays,
Agent :"
I am very apprehensive these days.,apprehensive,"Customer :Yes.I just got interviewed for the job of my dreams and now i am waiting for an answer.
Agent :"
I am very apprehensive these days.,apprehensive,"Customer :Why? Is it something with your work-life balance?
Agent :"
Last week I had to put my dog to sleep.  It was so sad.  I had her for 15 years,sad,"Customer :Last week I had to put my dog to sleep.  It was really sad because I had him for 16 years.
Agent :"
Last week I had to put my dog to sleep.  It was so sad.  I had her for 15 years,sad,"Customer :Ugh that happened to me before as well with another dog.  Her name was Doodles.
Agent :"
Last week I had to put my dog to sleep.  It was so sad.  I had her for 15 years,sad,"Customer :Oh no. I am so sorry. That is so hard. My daughters cat got run over like a week after we had him. :( What was your dog's name?
Agent :"
Last week I had to put my dog to sleep.  It was so sad.  I had her for 15 years,sad,"Customer :Doodles. That's a cute name! I'm sorry about your dog. 16 Years sounds like a good long life.
Agent :"
"There are certain times when I hear a song come on the radio, that came out when I was in high school, I want to go back to those days. I wish I could be young and carefree again with no worries. I miss those days.",nostalgic,"Customer :I sometimes wish I could go back to high school and be a kid again.
Agent :"
"There are certain times when I hear a song come on the radio, that came out when I was in high school, I want to go back to those days. I wish I could be young and carefree again with no worries. I miss those days.",nostalgic,"Customer :I am sorry to hear that. I think we all had struggles we went through as kids,
Agent :"
"There are certain times when I hear a song come on the radio, that came out when I was in high school, I want to go back to those days. I wish I could be young and carefree again with no worries. I miss those days.",nostalgic,"Customer :Talent shows in high school and Pep rallies, getting out of class. Just the memories I made with friends I don't get to see now.
Agent :"
"There are certain times when I hear a song come on the radio, that came out when I was in high school, I want to go back to those days. I wish I could be young and carefree again with no worries. I miss those days.",nostalgic,"Customer :I certainly don't. I was miserable as a kid.
Agent :"
"There are certain times when I hear a song come on the radio, that came out when I was in high school, I want to go back to those days. I wish I could be young and carefree again with no worries. I miss those days.",nostalgic,"Customer :Yes, some worse than others. What do you miss the most?
Agent :"
I really miss my mother.,nostalgic,"Customer :I miss my mother deeply.
Agent :"
I really miss my mother.,nostalgic,"Customer :yes, very much.She was the most important person in my life.
Agent :"
I really miss my mother.,nostalgic,"Customer :I'm sorry. We're you close?
Agent :"
I'm so sad because my family left today on a trip without me and they'll be gone for a week!,lonely,"Customer :My family just left on a trip for a week and I had to stay back to work. 
Agent :"
I'm so sad because my family left today on a trip without me and they'll be gone for a week!,lonely,"Customer :They'll be gone for 7 days and 6 nights!
Agent :"
I'm so sad because my family left today on a trip without me and they'll be gone for a week!,lonely,"Customer :That's so true! I think they will have fun but I will miss them being all alone in the house. 
Agent :"
I'm so sad because my family left today on a trip without me and they'll be gone for a week!,lonely,"Customer :Oh that's too bad. How long before they get home?
Agent :"
I'm so sad because my family left today on a trip without me and they'll be gone for a week!,lonely,"Customer :Oh well hopefully it goes quick for you but at least they will have a good trip which is nice!
Agent :"
I'm so sad because my family left today on a trip without me and they'll be gone for a week!,lonely,"Customer :I hope it goes okay and for you the time passes fast! 
Agent :"
"I was video chatting with my grandmother the other evening, letting her say ""hi"" to my sons. She asked my four year old if he was able to count and he showed her that he could count to 50. He did a bunch of other cute stuff that my grandma liked.",proud,"Customer :The other night my grandma wanted to video chat to say hi to her great grand kids. My four year old was showing off his counting skills and some other cute stuff he had learned. It made my grandma really happy.
Agent :"
"I was video chatting with my grandmother the other evening, letting her say ""hi"" to my sons. She asked my four year old if he was able to count and he showed her that he could count to 50. He did a bunch of other cute stuff that my grandma liked.",proud,"Customer :Oh yeah it's great for her to have a change to see what the kids are up to. But video calling can be really glitchy and awkward too haha.
Agent :"
"I was video chatting with my grandmother the other evening, letting her say ""hi"" to my sons. She asked my four year old if he was able to count and he showed her that he could count to 50. He did a bunch of other cute stuff that my grandma liked.",proud,"Customer :Not too bad, but she didn't really notice sometimes that she wasn't hearing certain words correctly. I just went with it haha.
Agent :"
"I was video chatting with my grandmother the other evening, letting her say ""hi"" to my sons. She asked my four year old if he was able to count and he showed her that he could count to 50. He did a bunch of other cute stuff that my grandma liked.",proud,"Customer :That's so sweet!  Modern technology is amazing, right?!
Agent :"
"I was video chatting with my grandmother the other evening, letting her say ""hi"" to my sons. She asked my four year old if he was able to count and he showed her that he could count to 50. He did a bunch of other cute stuff that my grandma liked.",proud,"Customer :Yes that's the bad part.  Was the call that way for her?
Agent :"
I anticipate a summer holiday in Dubai.that last experience was cool,nostalgic,"Customer :Can't wait for summer time to come
Agent :"
I anticipate a summer holiday in Dubai.that last experience was cool,nostalgic,"Customer :Well  that's cool,talking from the past ...Lol!
Agent :"
I anticipate a summer holiday in Dubai.that last experience was cool,nostalgic,"Customer :It's summer now for me.
Agent :"
I need a raise from my job. I am waiting for one in the next review. ,hopeful,"Customer :I have been working so hard and it seems my payment can no longer take care of my bills 
Agent :"
I need a raise from my job. I am waiting for one in the next review. ,hopeful,"Customer :I am about to lose it, but i will talk to my boss about it
Agent :"
I need a raise from my job. I am waiting for one in the next review. ,hopeful,"Customer :This has to be a very stressful time for you. How are you holding up?
Agent :"
I was able to fix a light switch using what I know about electrical engineering.,proud,"Customer :A light switch in my house stopped working and I was able to fix it without looking up how.
Agent :"
I was able to fix a light switch using what I know about electrical engineering.,proud,"Customer :Thanks. It wasn't too messed up though. A wire just needed to be reconnected.
Agent :"
I was able to fix a light switch using what I know about electrical engineering.,proud,"Customer :Wow, that is impressive. I probably couldn't have done it with a tutorial how. I would have walked around with a flashlight until someone felt sorry for me and fixed it
Agent :"
I keep playing the lottery but have not won anything over $10. I know one day I am going to hit it big!,hopeful,"Customer :I buy a lottery ticket every day but for some reason I have not won more than $10. My luck will soon change!
Agent :"
I keep playing the lottery but have not won anything over $10. I know one day I am going to hit it big!,hopeful,"Customer :No, I am pretty sure I will be one of the lucky ones who hits the jackpot. It's not gambling if it is a sure thing!
Agent :"
I keep playing the lottery but have not won anything over $10. I know one day I am going to hit it big!,hopeful,"Customer :Well You can be hopeful. But i think you should  stop gambling
Agent :"
I am so sad.  My husband needs a lung transplant.,sad,"Customer :I am so sad lately.  My husband needs a lung transplant and he is only 40 years old.
Agent :"
I am so sad.  My husband needs a lung transplant.,sad,"Customer :It has been happening gradually over a number of years he has a genetic form of COPD and has never smoked or done anything to deserve this.
Agent :"
I am so sad.  My husband needs a lung transplant.,sad,"Customer :He just got put on the list for the transplant so now he has to wait until its his time.
Agent :"
I am so sad.  My husband needs a lung transplant.,sad,"Customer :Thank you so much! I appreciate your prayers!
Agent :"
I am so sad.  My husband needs a lung transplant.,sad,"Customer :Oh wow. I'm so sorry to hear that. Was this an all the sudden thing or has he been in poor health?
Agent :"
I am so sad.  My husband needs a lung transplant.,sad,"Customer :It's so hard how that usually is the case. Never deserved. Is his surgery scheduled soon?
Agent :"
I am so sad.  My husband needs a lung transplant.,sad,"Customer :I'm really sorry. I can't imagine what you're going through. I'll be praying that he will get his lungs ASAP and that in the meantime, you'll feel at peace.
Agent :"
My cat dissapeared after 14 years one day. He never came back.,sad,"Customer :My first cat disaapeared 2 years ago after 14 years with him
Agent :"
My cat dissapeared after 14 years one day. He never came back.,sad,"Customer :Yea they like to leave when they are dying to try and heal but it is very depressing when they are just gone
Agent :"
My cat dissapeared after 14 years one day. He never came back.,sad,"Customer :That's so sad. I just had a cat disappear, it's quite sad.
Agent :"
"One time in welding school I got 2 of my teachers a gig with a major contractor on FT benning building ADA code railing for th new hospital and centers and stuff,",proud,"Customer :One time in welding school I got 2 of my teachers a gig with a major contractor on FT Benning building ADA code railing for th new hospital and centers and stuff,
Agent :"
"One time in welding school I got 2 of my teachers a gig with a major contractor on FT benning building ADA code railing for th new hospital and centers and stuff,",proud,"Customer :It was pretty awesome, I showed up in school after they had gotten paid and he was getting out his wallet. He said he had something for me but it felt better telling him I didn't need it they hired me on full time.
Agent :"
"One time in welding school I got 2 of my teachers a gig with a major contractor on FT benning building ADA code railing for th new hospital and centers and stuff,",proud,"Customer :Wow. They must have been very grateful to you. 
Agent :"
"One time in welding school I got 2 of my teachers a gig with a major contractor on FT benning building ADA code railing for th new hospital and centers and stuff,",proud,"Customer :Getting the full-time sounds better taking a one time bonus from him.
Agent :"
"Once, I had a big argument with my mom, but after awhile I realized I was wrong. So I tried to talk to her about it. ",sentimental,"Customer :What did you do to make it better?
Agent :"
"Once, I had a big argument with my mom, but after awhile I realized I was wrong. So I tried to talk to her about it. ",sentimental,"Customer :Yeah, one time I had a big fight with my mom. But when I realized I was wrong I went to talk to her to make it up.
Agent :"
"Once, I had a big argument with my mom, but after awhile I realized I was wrong. So I tried to talk to her about it. ",sentimental,"Customer :I eventually threw up. Anything you have to say though?
Agent :"
"Once, I had a big argument with my mom, but after awhile I realized I was wrong. So I tried to talk to her about it. ",sentimental,"Customer :Oh well that sounds like it ended well at least. What was the fight about?
Agent :"
It will make  year tomorrow since the last time i have a date. It is such a frustrating experience ,lonely,"Customer :I need someone to date so badly. I cannot hold it anymore
Agent :"
It will make  year tomorrow since the last time i have a date. It is such a frustrating experience ,lonely,"Customer :What do you think i can do about it. I need some help
Agent :"
It will make  year tomorrow since the last time i have a date. It is such a frustrating experience ,lonely,"Customer :My same exact sentiments, it can be lonely out here.
Agent :"
"I was out shopping with my four year old son. He was being very polite to people, saying ""bless you"" when they sneezed, please and thank you, have a nice day, etc. People seemed really proud.",proud,"Customer :Me and my four year old were grocery shopping. He was saying all sorts of cute things to people and being very polite. People were really amused by him it seemed. 
Agent :"
"I was out shopping with my four year old son. He was being very polite to people, saying ""bless you"" when they sneezed, please and thank you, have a nice day, etc. People seemed really proud.",proud,"Customer :I will for sure! Kids are the best, are you a parent or planning on being one ever?
Agent :"
"I was out shopping with my four year old son. He was being very polite to people, saying ""bless you"" when they sneezed, please and thank you, have a nice day, etc. People seemed really proud.",proud,"Customer :Kids are really cute at that age.  Embrace the cuteness while you still can!
Agent :"
Whenever I see a newborn baby I always think about how I wish their life will be happy and long.,hopeful,"Customer :Whenever I see a newborn baby I always think about how I wish their life will be happy and long.
Agent :"
Whenever I see a newborn baby I always think about how I wish their life will be happy and long.,hopeful,"Customer :Yes those laughing babies will always bring you a smile.
Agent :"
Whenever I see a newborn baby I always think about how I wish their life will be happy and long.,hopeful,"Customer :That is really sweet, I saw someone tweet about a baby laughing on the beach for 15 minutes today. Happy babies are fun 
Agent :"
Whenever I see a newborn baby I always think about how I wish their life will be happy and long.,hopeful,"Customer :Yes babies are so cute but I like being able to send them home with their parents 
Agent :"
I recently had to move out of my house. My friend let me and my kids stay with her. I love her so much.,grateful,"Customer :A month ago I had to move out of my house with only 2 weeks notice.
Agent :"
I recently had to move out of my house. My friend let me and my kids stay with her. I love her so much.,grateful,"Customer :It was very hectic and I was very stressed. I had a lot, but most of it had to be left behind when I moved in with my friend.
Agent :"
I recently had to move out of my house. My friend let me and my kids stay with her. I love her so much.,grateful,"Customer :Wow! That must have been hectic. Did you have a lot of stuff?
Agent :"
"Yesterday at weekly meeting, my supervisor praised me for my good work on the project",proud,"Customer :I worked very hard on my part on the assigned project and my supervisor praised me yesterday in front of others in the meeting
Agent :"
"Yesterday at weekly meeting, my supervisor praised me for my good work on the project",proud,"Customer :Indeed. I felt very appreciated for the work I did and was truly grateful
Agent :"
"Yesterday at weekly meeting, my supervisor praised me for my good work on the project",proud,"Customer :That's great to hear! I am sure you deserved it since you put so much effort in the project.
Agent :"
My mother is trying to get a good job and we are praying she gets through and they give it to her.,hopeful,"Customer :My mother is trying to get a good job and we are praying she gets it.
Agent :"
My mother is trying to get a good job and we are praying she gets through and they give it to her.,hopeful,"Customer :Just how they treat her is a bit disrespectful and it pays worse
Agent :"
My mother is trying to get a good job and we are praying she gets through and they give it to her.,hopeful,"Customer :Damn, hopefully she gets it then. Why is she looking for a new one?
Agent :"
My mother recently applied for a much better job than she has now and we are all crossing our fingers that she gets it. It pays much better and has great benefits as well.,hopeful,"Customer :My mother is looking for a better job, since not only are her two current jobs really bad but we also need more household income.
Agent :"
My mother recently applied for a much better job than she has now and we are all crossing our fingers that she gets it. It pays much better and has great benefits as well.,hopeful,"Customer :I know, especially since the job she applied for pays more than her two current jobs combined.
Agent :"
My mother recently applied for a much better job than she has now and we are all crossing our fingers that she gets it. It pays much better and has great benefits as well.,hopeful,"Customer :Oh wow im the same, i hope she gets it, its really stressful
Agent :"
I was so happy when I saw my daughter score the winning goal for her soccer team. She works so hard at practice and drills.,proud,"Customer :My daughter scored the winning goal at her last soccer game. I was so happy that all her hard work paid off!
Agent :"
I was so happy when I saw my daughter score the winning goal for her soccer team. She works so hard at practice and drills.,proud,"Customer :Yes, she practices almost every day after school with her friends and also with her team. She says she will be a professional player one day!
Agent :"
I was so happy when I saw my daughter score the winning goal for her soccer team. She works so hard at practice and drills.,proud,"Customer :That's great. Does she practice a lot?
Agent :"
We (family friends) planned a holiday trip to go for the last weekend. I was preparing for that like packing dress and getting ready to it. Unfortunately one of my cousin was unable to come due to his personal reasons. So we just cancelled the trip. I was feeling sad for this trip cancellation. ,sad,"Customer :My holiday trip has cancelled. I was feeling low for it. 
Agent :"
We (family friends) planned a holiday trip to go for the last weekend. I was preparing for that like packing dress and getting ready to it. Unfortunately one of my cousin was unable to come due to his personal reasons. So we just cancelled the trip. I was feeling sad for this trip cancellation. ,sad,"Customer :yeah. Waiting for the next holiday.
Agent :"
We (family friends) planned a holiday trip to go for the last weekend. I was preparing for that like packing dress and getting ready to it. Unfortunately one of my cousin was unable to come due to his personal reasons. So we just cancelled the trip. I was feeling sad for this trip cancellation. ,sad,"Customer :That is bad news and hard to deal with.
Agent :"
We (family friends) planned a holiday trip to go for the last weekend. I was preparing for that like packing dress and getting ready to it. Unfortunately one of my cousin was unable to come due to his personal reasons. So we just cancelled the trip. I was feeling sad for this trip cancellation. ,sad,"Customer :I sure hope you have a wonderful next Holiday trip very soon.
Agent :"
I was going through my son's closet and found a box of old newborn clothes. I went through them all and I saw some I had forgotten about. Seeing them all sent me down memory lane.,nostalgic,"Customer :I had to clean out my son's closet yesterday. I found a box of old newborn sized clothes, some I had forgotten about and it totally sent me down memory lane.
Agent :"
I was going through my son's closet and found a box of old newborn clothes. I went through them all and I saw some I had forgotten about. Seeing them all sent me down memory lane.,nostalgic,"Customer :Oh yeah it made me want a new baby haha. It's definitely bittersweet watching babies grow up, it's so exciting to see them learning and growing but at the same time it passes so fast and you miss that little fresh baby.
Agent :"
I was going through my son's closet and found a box of old newborn clothes. I went through them all and I saw some I had forgotten about. Seeing them all sent me down memory lane.,nostalgic,"Customer :That sounds like a mixed bag of emotions.
Agent :"
I was going through my son's closet and found a box of old newborn clothes. I went through them all and I saw some I had forgotten about. Seeing them all sent me down memory lane.,nostalgic,"Customer :Exactly what I was thinking. Better cherish the time that you have with him until he goes off to college, but know that he'll always appreciate you.
Agent :"
I was really annoyed today. I walked outside to get something from my car and a friend was just hanging out in my driveway with some people I didn't even know.,lonely,"Customer :I was really annoyed today.  I walked outside to get something from my car and a friend was just hanging out in my driveway with some people I didn't even know.
Agent :"
I was really annoyed today. I walked outside to get something from my car and a friend was just hanging out in my driveway with some people I didn't even know.,lonely,"Customer :You are probably right, however I didn't.  I just joined in the conversation for a few minutes and then they left.
Agent :"
I was really annoyed today. I walked outside to get something from my car and a friend was just hanging out in my driveway with some people I didn't even know.,lonely,"Customer :This is how you deal with such people,put him off. Reprimand such bad behaviors.
Agent :"
"I think everyday how fortunate I am to have a house, car, food, water and air to breathe. There are so many people in the world who don't even have clean water to drink.",grateful,"Customer :I think everyday how fortunate I am to have a house, car, food, water and air to breathe. There are so many people in the world who don't even have clean water to drink
Agent :"
"I think everyday how fortunate I am to have a house, car, food, water and air to breathe. There are so many people in the world who don't even have clean water to drink.",grateful,"Customer :Yes it is good to not take the things we have for granted.
Agent :"
"I think everyday how fortunate I am to have a house, car, food, water and air to breathe. There are so many people in the world who don't even have clean water to drink.",grateful,"Customer :You are so right. Even some of the worst conditions in my home country are better than most.
Agent :"
"I was reading the news and I saw some terrible news about some Christians being persecuted in Nigeria. I heard that 6,000 families had been massacred and it made me feel heartbroken.",sad,"Customer :I was reading the news the other day and I saw something so sad, about some Christians being persecuted in Nigeria. I guess something like 6,000 families have been massacred by extremists. It made me feel awful and sick.
Agent :"
"I was reading the news and I saw some terrible news about some Christians being persecuted in Nigeria. I heard that 6,000 families had been massacred and it made me feel heartbroken.",sad,"Customer :I know it made me feel really terrible, I wanted to do something to help but all I could do is spread the news and encourage people to pray. 
Agent :"
"I was reading the news and I saw some terrible news about some Christians being persecuted in Nigeria. I heard that 6,000 families had been massacred and it made me feel heartbroken.",sad,"Customer :The news can be so sad. That is horrible that that occurred!
Agent :"
"I was reading the news and I saw some terrible news about some Christians being persecuted in Nigeria. I heard that 6,000 families had been massacred and it made me feel heartbroken.",sad,"Customer :People need to step up and start helping others. I will pray too
Agent :"
I remember when I got my first computer. It was a hand-me-down Commodore 64. I spent all day figuring out how to use it.,nostalgic,"Customer :I was so glad when I got my first computer. I had been asking my parents for years and finally got my very own.
Agent :"
I remember when I got my first computer. It was a hand-me-down Commodore 64. I spent all day figuring out how to use it.,nostalgic,"Customer :Awesome, that is so fun to do. I spent all day figuring out how to program my Commodore. It was a treat when I figured out how to load some games.
Agent :"
I remember when I got my first computer. It was a hand-me-down Commodore 64. I spent all day figuring out how to use it.,nostalgic,"Customer :That's great. I just built my first computer actually.
Agent :"
I am so proud of my husband.  He just got a huge promotion at his work this week.,proud,"Customer :I am so proud of my husband.  He just got a huge promotion at his work this week!
Agent :"
I am so proud of my husband.  He just got a huge promotion at his work this week.,proud,"Customer :Well we did go out to dinner last night to celebrate.  We can't do too much because he has to keep going to work every day.
Agent :"
I am so proud of my husband.  He just got a huge promotion at his work this week.,proud,"Customer :Wow getting a promotion is always an awesome thing. You guys must be so happy! Will you guys be celebrating this success?
Agent :"
I become a great cook noways! I didn't know to cook even a little dish a month before.,grateful,"Customer :I became a great cook. I learnt lot of dishes
Agent :"
I become a great cook noways! I didn't know to cook even a little dish a month before.,grateful,"Customer :I am very good at teri yaki chicken
Agent :"
I become a great cook noways! I didn't know to cook even a little dish a month before.,grateful,"Customer :Nice, like which ones to be specific?
Agent :"
My nephew hit the ball really far in his baseball game the other day.,proud,"Customer :My nephew hit the ball really far in his baseball game the other day.
Agent :"
My nephew hit the ball really far in his baseball game the other day.,proud,"Customer :Not sure if it was skill or luck but it was a great hit either way.
Agent :"
My nephew hit the ball really far in his baseball game the other day.,proud,"Customer :Yes they won and we all went to Dairy Queen after.
Agent :"
My nephew hit the ball really far in his baseball game the other day.,proud,"Customer :Good for him! Sounds like he's a real slugger!
Agent :"
My nephew hit the ball really far in his baseball game the other day.,proud,"Customer :Did they end up winning the game?
Agent :"
I am so proud of my son.  He just graduated college last month!,proud,"Customer :I am so proud of my son. He just graduated college last month!
Agent :"
I am so proud of my son.  He just graduated college last month!,proud,"Customer :Yes I am so happy for him!  He finished in just 3 years too!
Agent :"
I am so proud of my son.  He just graduated college last month!,proud,"Customer :That is outstanding news. You must be a great parent to raise a son who got through college.
Agent :"
Me and a few friends got offered to go to this party off campus. It seemed really sketchy but it turned out fine and it was a lot of fun.,apprehensive,"Customer :In freshman year of college, me and some friends got invited to this really sketchy party and we were really hesitant about going.
Agent :"
Me and a few friends got offered to go to this party off campus. It seemed really sketchy but it turned out fine and it was a lot of fun.,apprehensive,"Customer :Yeah, it was a house party and it was a great time despite my original thoughts.
Agent :"
Me and a few friends got offered to go to this party off campus. It seemed really sketchy but it turned out fine and it was a lot of fun.,apprehensive,"Customer :Interesting, sounds like a metal band concert I went to where people were a bit goth. Did you go?
Agent :"
2,proud,"Customer :I was so mad today.  I was at the mall and someone stole my parking spot!
Agent :"
2,proud,"Customer :I know right.  He just whipped right in my space after I had been waiting patiently for a few minutes.
Agent :"
2,proud,"Customer :That is infuriating to hear! People are just so entitled to things these days, truly no decency. 
Agent :"
I live by myself and I get so bored.  I feel so depressed.,lonely,"Customer :I live by myself and I get so bored. I feel so depressed.
Agent :"
I live by myself and I get so bored.  I feel so depressed.,lonely,"Customer :Lucky you.  I am very social so it is hard for me sometimes.  Hopefully I won't have to deal with it forever.
Agent :"
I live by myself and I get so bored.  I feel so depressed.,lonely,"Customer :I'm sorry to hear that it bothers you in a negative way. I love being alone, I'm an introvert.
Agent :"
I've been doing work in a remote location and I haven't seen my friends or family for weeks.,lonely,"Customer :I've been doing work in a remote location and I haven't seen my friends or family for weeks.
Agent :"
I've been doing work in a remote location and I haven't seen my friends or family for weeks.,lonely,"Customer :I do, but the pay is good and I need the money.
Agent :"
I've been doing work in a remote location and I haven't seen my friends or family for weeks.,lonely,"Customer :Oh my, that must be very lonely. Don't you get home sick?
Agent :"
